SHIP_ID,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,WIDTH,L_FORE,W_LEFT,ROT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
9645911,12.908372,67.834175,8,132,,1286,CLASS B,LK,16,IMULA 2693 TLE,2,5,10,3,,,,,,
9753274,16.613453,68.034508,3,227,276,543,,CN,66,FUYUANYU8227,2,11,30,5,0,,,,,
9069437,16.466774,73.407776,48,76,,1137,MAGDLLA,IN,70,SIDDHIVINAYAK 1,8,13,57,5,315,,25,,,
6974188,15.247062,73.810036,2,35,0,92,CLASS B,IN,10,RETHNAHAR NET 2,0,6,6,3,,,,,,
10274013,17.279463,67.456512,40,90,,409,CLASS B,CN,57,LURONGYUANYU901,2,10,30,5,,,,,,
656737,15.610752,73.717583,25,100,100,154,CLASS B,IN,40,PEARL I,7,9,0,0,,,,,,
7568315,17.760414,67.225273,8,179,,309,,CN,68,FU YUAN YU 857,2,13,0,0,,,,,,
TVRJME5qWTRNVEkwTmpZNE1USTBOZz09LXBVWlZOY251REM2WCszQUkrVTJaREE9PQ==,17.99,67.286667,0,,,6,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
7297965,11.06419,75.684067,0,125,125,131,CLASS B,IN,0,NISSI NET 2 80,2,0,0,0,,,,,,
9116717,15.22528,72.992355,75,100,,138,CLASS B,IN,0,ROYAL FISHER,0,0,1,1,,,,,,
10162328,18.653997,69.114906,40,246,,156,CLASS B,IN,26,MARY AMMA BOAT,2,6,16,4,,,,,,
3077753,14.277298,74.442772,,,,639,,--,0,VTS 4192236,0,0,,,,,,,,
9295250,11.159429,75.64476,18,150,,126,CLASS B,IN,26,ARIYA NETBOAT,2,6,16,4,,,,,,
9766041,18.569387,72.809296,65,105,,455,JAIGARH,IN,82,J AR,7,13,67,4,315,,,,,
5415651,12.948778,70.778267,60,149,,372,CLASS B,IN,26,LOURDMATHA 1,2,6,16,4,,,,,,
8798332,19.213125,72.130692,660,208,,112,,--,0,SAR AIRCRAFT VT HLX,0,0,0,0,,,,,,
8795003,19.560905,71.410484,1130,297,,274,,--,0,SAR AIRCRAFT VT RRF,0,0,0,0,,,,,,
TmpZMk16WTVOalkyTXpZNU5qWTJNdz09LU9ONXRNUklTMXlPWkFGMmpNdTdTeHc9PQ==,17.583334,67.860001,0,,,80,,,,[SAT-AIS],2,,,,,,,2,Fishing,Unknown
1928058,16.376318,73.379623,,,,337,,IN,0,SAR 4192232,3,0,,,,,,,,
9907988,13.22632,70.126785,0,215,,100,CLASS B,IN,10,AJAY NET 3 73,0,10,5,5,,,,,,
27225,21.107176,70.106743,,,,436,,--,0,VTS 4192215,0,0,,,,,,,,
10127819,18.832767,69.63913,2,327,,231,CLASS B,IN,0,ST PIO 3 83,2,0,0,0,,,,,,
6742124,11.392268,74.587639,6,192,,670,CLASS B,IN,26,AYISHA 3,2,6,16,4,,,,,,
9118198,12.836258,74.005852,3,305,,1427,CLASS B,IN,10,SELVAMATHA 5 99,2,4,6,2,,,,,,
10029690,13.449297,73.519142,10,202,,18,CLASS B,IN,26,ST.MICHEAL BOAT,2,6,16,4,,,,,,
9838373,12.712445,74.069481,37,95,,311,CLASS B,IN,26,AKILAN NET BOAT,2,6,16,4,,,,,,
9294196,11.899823,74.371506,0,324,,478,CLASS B,IN,26,CLADIATOR.113,2,6,16,4,,,,,,
8985571,12.84138,74.43737,78,266,,1150,CLASS B,IN,22,SAGAR KING,2,6,12,4,,,,,,
